Name,Price,Description,
Broca 1/4 de concreto,45,,2026/05/18
Broca 5mm,18,,2024/12/09
Broca de concreto N°6 de primera,48,,2026/03/09
Broca de fierro 5.5,18,,2025/03/14
Broca de fierro de 1,10,,2025/03/14
Broca de fierro de 1/2,65,,2025/03/14
Broca N°10 pars concreto,20,,2024/10/22
Broca N°6 pars concreto,15,,2024/10/22
Broca para metal de 3.5mm,14,,2024/06/20
Broca pra metal #10,35,,2025/03/14
"Brocha 2 1/2"" Tigre",,,2025/10/28
"Brocha de 2""",17,,2022/11/11
"Brocha de 3""",25,,2022/11/11
"Brocha de 6""",30,,2024/08/14
Buscapolo,30,,2023/06/09
Cable,100,,2022/12/29
Cable #10,1250,,2025/03/27
Cable #12,680,,2025/03/27
Cable #12 AWG alambre TIGRE,970,,2026/05/21
Cable #6 (7 hilos) rollo de 100 metros,3400,,2025/03/14
Cable #7X10 de 7 hilos marca Tigre (rollo de 100 metros),765,,2024/07/18
Cable 10 cordón marca Tigre,1550,,2024/01/10
Cable 12 cordón marca Tigre,1050,,2024/01/10
Cable 12 metro,3,,2025/06/01
Cable 12AWG 7 hilos color blanco (rollo 100mts),,,2025/10/13
Cable 14AWG 7 hilos color blanco (rollo 100mts),,,2025/10/13
Cable 7 hilos #10 (rollo de 100 mts) TIGRE,1080,,2025/02/06
Cable 7 hilos #6 (rollo de 100 mts) TIGRE,2950,,2025/02/06
Cable 7 hilos #8 (rollo de 100 mts) TIGRE,1650,,2025/02/06
Cable 7*12 tigre,795,,2025/03/14
Cable 7x12 blanco (rollo 100mts),,,2026/02/06
Cable 7x12 negro (rollo 100mts),,,2026/02/06
Cable 7x12 verde/amarillo (rollo 100mts),,,2026/02/06
Cable 7x14 blanco (rollo 100mts),,,2026/02/06
Cable 7x14 negro (rollo 100mts),,,2026/02/06
Cable 7x4 AWG Negro (metro),,,2026/02/06
Cable 7x6 AWG Negro (metro),,,2026/02/06
Cable 7x8 AWG Negro (metro),,,2026/02/06
Cable Aislado #10,1080,,2025/02/25
Cable aislado de cobre AWG de 7 hilos N°14 (rollo de 100mts),850,,2025/08/25
Cable Aislado de cobre de 7 hilos N°12 (rollo de 100 metros) marca Tigre,600,,2024/05/21
Cable aislado de CU No. 8 d e 100 Mtr,1320,,2023/07/28
Cable alambre N°1x10 Tigre (rollo 100 metros),1213,,2025/02/28
Cable alambre N°1x12 Tigre (rollo 100 metros),740,,2025/02/28
Cable alambre N°1x14 Tigre (rollo 100 metros),481,,2025/02/28
Cable bajo goma 2x1.5 mm2 (rollo de 100 metros),1350,,2025/05/14
Cable bajo goma 2x2.5 mm2 (rollo de 100 metros),1850,,2025/05/14
Cable bajo goma de 2*1.5 de diámetro (c/rollo 100 metros),930,,2023/07/28
Cable bipolar #12 tigre,1650,,2025/03/14
Cable bipolar #14 tipo cordón,760,Cable bipolar tipo cordón #14 100% cobre,2022/10/19
Cable bipolar #14 tipo cordón,1300,,2024/10/09
"Cable bipolar #18, multifilar de cobre, marca Tigre",397,,2024/05/27
"Cable bipolar #20, multifilar de cobre, marca Tigre",270,,2024/05/27
Cable bipolar 2*12,2850,,2025/09/18
Cable bipolar 2*14 awg rollo de 100 metros,800,,2022/12/08
Cable bipolar 2*16 awg rollo 100metros TIGRE,780,,2022/12/08
Cable bipolar 2*2.5 (rollo 100 metros),1600,,2026/03/13
Cable bipolar calibre/awg N°16 100 metros,650,,2022/12/08
Cable bipolar cordón blanco N °10 de cobre (rollo de 100 metros),1350,,2026/05/20
Cable bipolar engomado para exterior  de 1.5MM 100% cobre,698,,2024/07/22
Cable bipolar engomado para exterior de 2.5MM 100% cobre,950,,2024/07/22
CABLE BIPOLAR N 10,340,,2025/05/14
Cable bipolar No. 2x12 marca Tigre,2625,,2025/09/24
Cable bipolar N°10,480,,2025/08/14
Cable bipolar N°10 (rollo),480,,2025/09/30
Cable bipolar N°14 Tigre (rollo de 100 metros),1200,,2025/02/25
Cable bipolar N°16 TIGRE (rollo de 100 metros),,,2026/02/06
Cable bipolar N°2*14 AWG,8.5,,2023/10/27
Cable bipolar N°2x14 de cobre,1320,,2025/04/07
Cable bipolar tipo cordón de 100M N°14 AWG 100% COBRE TIGRE,800,,2024/07/22
Cable canal 10x25,15,,2026/01/26
Cable canal 15*10,10,,2023/01/12
Cable canal 25mmx25mm,,,2025/10/13
Cable canal 30X40 (barra de 2 metros),35,,2024/09/10
"Cable canal blanco 30*12mm 1 división en medio, 2 metros",38,,2024/10/11
Cable coaxial (metro),3.5,,2023/10/27
Cable con conector plug,10,,2023/02/15
Cable conducto 15*10,7,Cable ducto plástico 15*10,2022/11/07
Cable conducto de piso 13*48,45,Cable conducto de piso plastico 13*48,2022/11/07
Cable Cordeiro 1.5 mm,380,,2026/03/16
Cable Cordeiro 4 mm,900,,2026/03/16
Cable cordon doble blanco 2*12 marca tigre (rollo de 100M),1200,,2023/10/03
Cable cordon No. 2*12 tigre (metro),17,,2024/08/14
CABLE CORDON N°10,1650,,2024/07/24
CABLE CORDON N°12,1150,,2024/07/24
Cable cordón #12,1200,,2023/06/07
Cable cordón 2*16 rollo de 100 metros,850,,2024/08/14
Cable cordón 2x16 (metro),8,,2025/05/02
Cable cordón bipolar # 14 TIGRE (rollo de 100 metros),1450,,2025/05/02
Cable cordón bipolar # 16TIGRE (rollo de 100 metros),870,,2025/05/02
Cable cordón bipolar 2x14 (rollo 100 metros),1200,,2025/09/09
Cable cordón bipolar 2x14 Tigre (rollo 100 metros),1720,,2025/08/21
"Cable cordón bipolar blanco de cobre No 12, marca Cablesol",575,,2024/05/17
"Cable cordón bipolar blanco de cobre No 12, marca Tigre",1250,,2024/05/17
Cable cordón bipolar N°14 material aislante cobre diámetro 2*14 (rollo de 100 metros),1350,,2025/05/26
Cable cordón doble Nro 14,200,,2024/05/03
Cable cordón No. 16 (rollo),180,,2025/09/18
Cable cordón No.2 X 22 (metro),3.5,,2024/08/05
Cable cordón Nro 14 de cobre (rollo de 100 metros),1740,,2026/03/09
Cable cordón N°10 (rollo 100 metros),2480,,2025/02/18
Cable cordón N°10 (rollo de 100 metros),2300,,2026/01/26
Cable cordón N°12 (rollo 100 metros),1650,,2025/02/18
Cable cordón N°12 (rollo de 100 metros),1800,,2026/01/26
Cable de 7 hilos #14,860,,2025/09/18
Cable de 7 hilos flexible AWG N°10 (rollo de 100 metros),2198,,2025/07/03
Cable de 7 hilos No. 14 TIGRE (rollo de 100 metros),,,2025/10/28
Cable de 7 hilos N° 14 (rollo de 100 metros),820,,2025/05/29
"Cable de 7 hilos N°12, cobre puro (100 metros)",1410,,2025/07/03
Cable de alta tensión,8,"N°8 dúplex
Con alma de acero
Marca",2023/05/15
