Name,Price,Description,
Canoa para un tubo LED de 60cm,20,,2023/11/28
Canoa simple para tubo LED,45,,2025/08/25
"Canoa simple para tubo LED 1,2m",20,,2026/01/26
Canoa/soporte para tubo LED,25,,2024/05/03
Canoas Pantallas para foco tubo Grande,28,,2026/05/08
Canoas Pantallas para foco tubo mediano,20,,2026/05/08
Capuchones para conectores,2,,2022/11/24
"Capuchón para RJ45, color a elección",2,,2024/05/28
"Carpicola de 0.9 LTR, marca RIVECOLA (frasco)",63,,2025/09/18
Carreta de estaño,135,,2024/06/18
Carrete de estaño,120,,2024/03/25
Cautin 300W Marca UYUS,360,,2025/04/16
Cavija plana,10,,2024/09/02
Cemento cola de 20Kg,35,,2023/06/09
Cepillo #4 (hoja),85,,2025/03/10
Ceramica esmaltada de 20*30,75,,2023/06/09
Chaoa de palanca,155,,2024/01/10
Chaoa de perilla,150,,2024/01/10
Chaoa de perilla YALE,150,,2023/01/12
Chaoa para puerta de aluminio,180,,2024/01/10
Chapa Alianca,165,,2023/05/23
Chapa barra 1.2 metros,55,,2022/12/22
Chapa batiente,22,,2022/12/22
Chapa blindada marca CASSINI de tres golpes,140,,2024/02/29
Chapa boton,22,,2022/12/22
Chapa Cantol Super Blindada 700,490,,2026/02/03
Chapa cuadrada,15,,2022/12/22
Chapa de 2 golpes,270,,2024/03/26
Chapa de 3 golpes,140,,2023/01/12
Chapa de escritorio,15,,2022/12/22
Chapa de gabetero metálico frontal,35,,2023/01/12
Chapa de palanca EVERLEO,155,,2023/01/12
Chapa de Perilla,,,2026/02/24
Chapa de Perilla con llave,195,,2026/03/02
Chapa de Perilla sin llave,,,2026/02/24
Chapa de puerta,145,,2022/12/08
Chapa de puerta,140,,2023/05/23
Chapa de puerta grande de seguridad marca Papaiz,1500,,2023/05/24
Chapa de puerta mediana marca Everleo,160,,2023/05/24
Chapa de puerta metalica de manivela marca Papaiz,250,,2024/06/14
Chapa de puerta metalica de Perilla marca Papaiz,195,,2024/06/14
Chapa de puerta principal marca Travex,130,,2023/05/21
"CHAPA DIGITAL CON PANTALLA DIGITAL USO DE CONTRASEÑA NUMÉRICA DE TECLADO TÁCTIL PARA SER REGISTRADO, CON TRUCO DE LA PUERTA CON TRES LLAVES DIGITALES.",3800,,2023/04/20
CHAPA DOS GOLPES,655,,2026/03/09
Chapa Electrica Marca Yale más su transformador,750,,2023/10/02
Chapa eléctrica con transformador,690,,2023/06/09
"Chapa eléctrica marca DLUX, derecha izquierda con control remoto, llave y tarjetas de proximidad",640,,2023/08/04
Chapa Forte 840,520,,2026/02/03
Chapa frontal,35,,2022/12/22
Chapa lateral,35,,2022/12/22
Chapa metálica a manija marca Barbilla Brasil,480,,2025/09/03
Chapa para escritorio melamina tipo modelo 4x4 cm D2,82,,2026/03/25
Chapa para escritorio plateado,25,,2023/01/12
Chapa para puerta de Aluminio Papaiz,295,,2023/05/21
"Chapa para puerta tipo interior de puerta, material cromado",210,,2024/03/26
Chapa para puerta tipo perilla. Material Bronce. Marca Yale,120,,2023/07/20
Chapa para puerta. Material Metálico. Tipo eléctrico con transformador. Marca Yale.,700,,2023/07/20
CHAPA PERILLA,245,,2026/03/09
Chapa rombo,20,,2022/12/22
Chapa tipo perilla,60,,2023/06/09
Chapa tipo perilla EVERLEO,65,,2024/09/02
Chapa Varilla tipo modelo empotrado para escritorio Melamina,80,,2026/03/25
Chapa ñara estante de madera frontal,35,,2023/01/12
"Chapas de embutir de 2 golpes color bronce, llave especial estriado, a manivela, marca EVERLEO de primera calidad",,,2025/07/10
Chicotillo,38,,2022/12/08
Chicotillo,36,,2023/12/18
Chicotillo 50 cm,85,,2026/03/24
Chicotillo de 60cm 1/2,70,,2026/03/09
CHICOTILLO ENGOMADO DE 40CM,58,,2026/03/09
"Chicotillo galvanizado, material acero trenzado, 40cm",45,,2024/03/26
"Chicotillo metálico de 60cm por 1/2"" COFLEX",,,2025/07/10
Chicotillo; Medida 1/2 x 1/2 x 50 cm; Conector H-M. Material Metálico. Tipo flexible.,30,,2023/07/20
Chinche de primera (caja de 1000 unidades),95,,2026/05/20
Cibta Aislante 20Y 3M,15,,2025/02/20
Cibta aislante 3M 20Y,15,,2025/04/07
Cibta Aislante 3M 20Y Negro,14,,2024/10/22
Cibta Aislante Million,20,,2025/02/25
Cinta adhesiva indistrial de tela color negro (vulcanizante),95,,2024/07/17
Cinta Aislante,14,,2022/11/23
Cinta Aislante,14,,2023/05/08
Cinta Aislante,14,"De 20 Yardas 
Marca 3M",2023/05/15
Cinta aislante,14,,2023/10/03
Cinta Aislante,15,,2025/03/14
Cinta aislante,20,,2025/09/03
Cinta aislante,12,,2025/09/04
Cinta aislante,20,,2025/10/13
Cinta aislante (paquete 10U),110,,2024/12/27
Cinta aislante 18MT 19mm Truper,20,,2026/05/20
CINTA AISLANTE 20 YARDAS,20,,2026/04/22
Cinta Aislante 20Y,14,,2024/06/18
Cinta aislante 20Y,20,,2026/05/20
Cinta aislante 20Y 3M,20,,2025/10/28
Cinta Aislante 20Y 3M,15,,2026/01/27
Cinta Aislante 20Y Million,14,Cinta aislante 20Y Million 3/4,2022/10/19
Cinta Aislante 20Y Negra,20,,2025/05/02
Cinta Aislante 3/4,12,Vinta Aislante 3/4 3M 20Y,2022/11/11
"Cinta aislante 3/4 "" 3M",14,,2024/07/22
Cinta aislante 3M,12,,2022/12/14
Cinta Aislante 3M,14,,2024/07/02
Cinta Aislante 3M,14,,2025/03/09
Cinta aislante 3M,16,,2025/05/29
Cinta aislante 3M,15,,2026/01/26
Cinta aislante 3M,17,,2026/05/21
Cinta Aislante 3M 20Y,20,,2025/05/14
Cinta Aislante 3M de 20 Yardas,,,2026/02/06
Cinta Aislante 3M de 20 Yardas,15,,2026/02/06
Cinta Aislante Blanco,,,2026/02/06
Cinta aislante blanco grande,20,,2025/08/22
"Cinta Aislante blanco, 19mm x 18metros x 0.18mm",14,,2024/05/24
Cinta Aislante de 20 Yardas,20,,2025/06/16
Cinta Aislante de 20 Yardas Mat. PVC,14,,2023/07/28
CINTA AISLANTE DE 20Y,20,,2025/05/14
CINTA AISLANTE DE 20Y PVC,14,,2023/12/08
Cinta Aislante de 20Y PVC,14,,2023/12/14
"Cinta aislante de 20Y, 3M",20,,2025/07/03
"Cinta Aislante de 20Yds 19mm, 3/4""",14,,2025/03/27
Cinta aislante grande,15,,2023/05/23
Cinta aislante grande 20Y,20,,2025/08/25
Cinta Aislante grande 3M 20Y,14,,2024/03/25
Cinta Aislante Negro,14,,2023/10/27
Cinta Aislante Negro,,,2026/02/06
Cinta aislante Truper,20,,2025/02/28
"Cinta de doble contacto de 10yardas x 48mm de ancho, espesor de 1mm MULTICINTA",,,2025/07/10
"Cinta de seguridad de PRECAUCIÓN - PROHIBIDO PASAR  ancho estandar de 7,5 - 15cm (rollo 10 mts)",150,,2026/05/13
Cinta de seguridad perimetral PROHIBIDO 100MT Truper,80,,2026/05/20
Cinta doble contacto,35,,2022/11/23
Cinta doble contacto 20metros,82,,2024/07/23
Cinta doble contacto 25yardas de espuma 12mm,85,,2024/07/17
Cinta doble contacto 5Y,20,,2026/03/09
"Cinta doble contacto de esponja 25Y largo , 12 mm de ancho",75,,2024/07/05
"Cinta doble contacto de esponja 25Y largo , 18 mm de ancho",85,,2024/07/05
"CINTA ELECTRICA AISLANTE(VINIL) 3M DE 20 YARDAS   Medidas:19mmx18,3 m     Grosor: 0,17 mm Color: Negro",14,,2023/08/31
Cinta eléctrica aislante de vinil 20Y 0.18mmx19mmx18m,15,,2023/05/10
Cinta LED (metro),18,,2026/02/18
Cinta LED 3 tiempos,22,,2026/04/16
Cinta LED cálido con puntos (carreta 100 metros),1300,,2026/02/25
Cinta Led de 220 voltios de doble fila (metro),25,,2026/05/08
Cinta LED secuencial SMART 5 metros,200,,2026/03/11
"Cinta maskin 2""",15,,2024/07/17
"Cinta maskin 2"" de ancho",22,,2024/06/26
Cinta masquin 1/2,8.1,,2023/06/09
Cinta métrica metálica 5 metros,30,,2026/03/09
Cinta neon 12V (metro),17,,2024/07/23
Cinta Neon con transformador rollo de 5metros,110,,2024/07/23
Cinta teflón,6,,2023/06/09
Cinta teflón 19mm x 0.075mm x 10 M (caja de 1200 unidades),3200,,2023/08/11
Cinta Teflón de 3/4,3.5,,2024/06/20
Cinta Termocontraible (metro),12,,2024/06/18
Cinta vulcanizante (metro),15,,2023/05/23
Clavija,12,,2023/11/01
Clavija 10Amp Tramontina,15,,2025/05/14
Clavija 15/16Amp plano,12,,2026/03/13
Clavija Brasilera 15Amp,15,,2024/09/06
Clavija de 15 Amp,7,,2023/06/07
Clavija de 15 Amp,8,,2023/11/13
Clavija eléctrica,15,,2024/11/08
Clavija eléctrica,15,,2024/11/29
Clavija en L 20A,25,,2025/10/28
Clavija engomada,5,,2024/12/02
Clavija engomada 16A,12,,2026/05/08
Clavija engomada 16A plano,10,,2026/05/08
Clavija engomada plana,10,,2025/08/14
Clavija Macho,7,,2023/05/08
Clavija marca Ultra,6,,2023/04/25
Clavija Nema,13,,2024/06/18
Clavija para extensor,8,,2023/08/29
CLAVIJA PARA PLANA   Material PVC o Plastico y Cobre   Amperaje : 15 A Voltaje : 220V Tamaño : Estandar,7,,2023/09/01
Clavija pata plana,10,,2024/09/02
Clavija plana,5,,2022/12/08
Clavija plana,7,,2023/05/05
Clavija plana,10,,2025/05/02
Clavija Plana 15A,10,,2026/02/06
Clavija Plana 15Amp,10,,2026/03/09
Clavija plana 16Amp,10,,2026/05/27
Clavija plana engomada marca Ultra (Peru),6,,2023/04/24
Clavija planas,10,,2025/08/14
Clavija Schucko,15,,2023/05/08
Clavija Shucko,17,,2024/06/26
Clavija Shucko 16Amp,15,,2025/03/27
Clavija Shucko 16Amp marca Songrui,22,,2024/08/14
Clavija Shuko 10-16Amp,15,,2023/10/27
CLAVIJA TIPO NEMA DE 15A,15,,2026/05/07
Clavija tipo Schuko,16,,2025/04/07
CLAVIJA TIPO SHUCO15-20A,18,,2026/05/07
CLAVIJA TIPO SHUKO 16 AMP IP44,45,,2026/04/22
Clavija Vision Plano 16A,6,,2022/12/08
Clavija Vision Redondo 16A,6,,2022/12/08
Clavijaa tipo codo marca Tramontina,10,,2023/08/29
Clavijas,5,,2022/11/23
Clavijas,12,,2023/05/12
Clavijas electricas,12,Clavijas electricas ind. Brasilera,2022/11/17
Clavijas macho o enchufes,7,"-voltaje:250V
-amperaje: 15A",2023/09/08
Clavijas marca Tramontina,12,,2023/09/29
CLAVIJAS PLANAS,10,,2024/12/06
Clavijas redondas,7,,2023/07/26
"Clavo 1 1/5"" (kilo)",27,,2025/03/10
"Clavo 1"" (kilo)",35,,2025/03/10
CLAVO DE 1/2 (KILO),48,,2025/10/20
"Clavo de 2"" (kilo)",18,,2024/06/20
"CLAVO DE 3/4"" BSA DE 1 KGR",35,,2025/10/14
Clavo de calamina con goma,32,,2022/12/22
Clavo para calamina (bolsa),38,,2024/08/14
Codo 3/4,2,,2024/07/09
Codo 3/4,1,,2026/04/29
"Codo 6""",65,,2023/05/12
Codos 5/8,1,,2024/02/19
Compresora SCHULZ 200L 3HP,13950,,2023/01/27
Condensador de 13 microfaradios,60,,2024/02/01
Conector de 3 tiempos para cinta,23,,2026/04/16
Conector Hembra Tipo KEYSTONE JACK/ CAT 6,24,,2024/05/28
Conector Jabalina 5/8,15,,2025/02/25
Conector LED (para cada tramo),18,,2026/02/18
Conector para cinta LED,15,,2026/05/08
Conector para Red Cat 6 RJ45,5,,2022/11/23
Conector Plug DC,5,,2023/05/16
Conector RJ-45 Cat 6 blindado metalico,295,,2026/05/12
Conector RJ11,2,,2023/05/16
Conector RJ11 (caja 10U),160,,2022/12/08
Conector RJ45,2.5,,2023/05/08
Conector RJ45  cat 5 (100U),195,,2022/12/08
Conector RJ45 CAT 6,3,,2025/04/17
Conector RJ45 CAT 6 (caja 100U),210,,2024/09/18
Conector RJ45 metálico,2.5,,2022/12/08
Conector terminal tipo zapatito,14,,2023/03/30
Conector tipo hembra rj45,,,2023/03/15
"Conector varilla a tierra de 5/8""",12,,2024/02/01
Conectores RJ45 (100U),250,,2025/03/09
Conectores RJ45 CAT 5,3,,2024/06/26
Conectores RJ45 Cat 6 (CAJA 100U),380,,2022/11/17
CONECTORES RJ45 CATEGORÍA 6,210,,2024/10/24
Conmutador simple,,,2026/02/06
Conos viales 95cm,170,,2023/04/06
Conta Aislante 3M 20Y,19,,2024/09/13
Contactor,160,,2023/11/22
Contactor 32Amp CAMSCO,220,,2025/02/06
Conversor de DVI a HDMI,60,,2022/11/23
Conversor Display Port a HDMI,80,,2022/11/23
Conversor RS 232 a USB,185,,2025/04/17
Cordon bipolar blanco #2X16 (rollo de 100 metros) marca Tigre,590,,2024/07/09
Cordón #20 audio bipolar,260,,2023/11/24
"Cordón bipolar #16, cobre puro, marca Tigre",460,,2023/07/28
Cordón N°10 (rollo de 100 metros),3378,,2025/05/29
Cordón N°12 (rollo de 100 metros),2430,,2025/05/29
Corta pico UYUSTOOLS,75,,2022/11/23
Cortador de tubos de PVC,88,,2025/03/10
Cortador tubo de aluminio,85,,2025/03/10
Cortapico,45,,2023/05/08
Cortapico,75,,2024/07/18
Cortapico,90,,2024/07/18
Cortapico 3mts,95,,2025/11/28
Cortapico 6 entradas nema universal 1 metro,65,,2025/11/28
Cortapico 6 puertos,39,,2024/01/10
Cortapico 6 salidas Forza,75,,2024/10/09
"Cortapico 6 tomacorrientes, 2200W, 220V",70,,2024/09/02
Cortapico 6 tomas,65,,2025/09/18
Cortapico 6 tomas con cable de 3 metros,95,,2026/03/09
Cortapico 6 tomas FORZA,65,,2025/03/14
"Cortapico cap 220W, V110/220 tipo entrada Nema 5-15P Tipo de salida: 6xNEMA Universal, Indicador Visual: interruptor de conexión con luz",40,,2023/05/10
"Cortapico de 10 Amperios, Marca FORZA",36,,2023/05/24
Cortapico de 1m cap 2200W V110/220 tipo de entrada nema 5-15P tipo salida 6 x nema universal 5-15R indicador visual: interruptor de conexión con luz,65,,2023/09/20
"Cortapico de 250V, capacidad 2300W, 10A de 3 metros",77,,2023/05/12
Cortapico de 3 metros,82,,2024/04/25
Cortapico de 3 metros,120,,2025/02/20
Cortapico de 3 Mt CAP 2200W V110/220V Tipo de entrada nema 5-15P Tipo salida: 6 X nema universal 5-15R Indicador visual: Interruptor de conexión con luz.,95,,2023/07/20
Cortapico de 5 tomas Forza,50,,2025/03/27
Cortapico de 6 entradas,40,,2023/06/09
Cortapico de 6 salidas FORZA,55,,2025/04/08
Cortapico de 6 tomas,70,,2025/05/02
Cortapico de 6 tomas FORZA,90,,2026/03/16
Cortapico de 6 tomas forza de 5 mts,130,,2026/05/20
Cortapico de 6 tomas Nema,45,,2023/11/06
Cortapico FORZA,70,,2024/09/02
Cortapico Forza (90cm de  cable),40,,2023/10/12
Cortapico marca forza,45,,2023/03/15
Cortapico tomacorriente de 6 puertos,40,,2023/01/12
Cortapicos de 6 entradas,70,,2026/05/18
Cortapicos de 6 salidas,75,,2026/01/26
Csja de termico T12,95,,2024/10/22
CUBTA AISLANTE MILLION,20,,2026/05/04
Cuchilas para estilete (paquete de 10 unidades),16,,2024/05/24
Cunta Vulcanizante,95,,2024/11/27
CUNTA VULCANIZANTE TERMORETRACTIL,80,,2026/04/22
Deatellador amarillo,220,,2023/11/24
"Destapacaño 7,5",150,,2025/03/10
Destellador rollo,210,,2023/03/15
Destornillador de 41 cambios,120,,2023/11/01
Destornillador de precisión juego de 6 unidades,1,,2023/11/01
Detector de energía electrica (UNI-T),152,,2023/09/20
DETECTOR DE ENERGÍA ELÉCTRICA (UNI-T),95,,2023/07/20
Detector de tension (busca polo),70,,2024/07/04
"Diaco de corte de 9"" para fierro",35,,2024/07/04
Dicroico LED 5W,17,,2023/03/03
Dicroico LED de 6W,18,,2024/07/24
Dicroicos LED,18,,2024/06/12
"Disco de copa de 4""",32,,2024/07/04
"Disco de corte 7""",20,,2023/05/21
"Disco de Corte de 7""",30,,2023/05/23
"Disco de corte de 7"" para fierro",28,,2024/07/04
"Disco de corte galleta 4 1/2""",10,,2024/06/20
"Disco de corte madera de 7""",50,,2024/07/04
Disco de corte N° 5 para madera,25,,2023/04/11
Disco de corte para metal marca Norton de 9' pulgadas,30,,2023/09/19
"Disco para concreto de 7""",50,,2024/07/04
Distanciometro digital de 100 metros TRUPER,1550,,2024/07/19
Distanciometro digital de 80 metros WOKIN,1450,,2024/07/19
DISTANCIOMETRO LACER DE 80 METROS CON CARGADOR (MAKITA),2950,,2023/07/20
Driver 18-24W,25,,2022/11/23
Driver 18W,25,,2026/04/16
Driver 24W,35,,2026/04/16
Driver 48W,55,,2022/11/23
Driver 48W,65,,2026/04/16
Driver de 12W,18,,2024/09/02
Driver de 24W,25,,2024/09/02
Driver de LED 24W 220V,30,,2025/05/26
Driver LED 24W,50,,2025/10/30
Driver para LED 24W,25,,2025/03/09
Driver para LED 60W,68,,2025/03/09
Driver para panel LED 60W,60,,2023/03/15
Driver para panel LED 60W,80,,2025/09/18
Driver para panel LED de 48W,60,,2023/10/02
Ducha,250,,2025/09/09
Ducha eléctrica,145,,2024/07/02
Ducha eléctrica,165,,2025/03/14
Ducha ENERBRAS,250,,2025/08/21
Ducha Lorenzetti,170,,2024/08/21
Ducha lorenzetti 5500W,95,,2023/03/15
Ducha Metálica Lorenzetti con doble resistencia,470,,2024/04/25
Electrodo 2.5 (kilo),65,,2025/03/10
Electrodo 3.25 (kilo),80,,2025/03/14
Electrodo 6013 (kilo),48,,2024/07/04
Electrodo 6013 (kilogramo),75,,2024/12/09
Electrodo 6013 de 3.25mms,35,,2022/11/11
Electrodo de 2.5MM (kilo),30,,2024/06/20
Empalmador de cable,12,,2023/05/16
Enchufe 16A,5,,2023/01/12
Enchufe 16A,5,,2024/01/10
Enchufe 20A,20,Enchufe/clavija de 20A  Ind. Brasileña,2022/10/19
Enchufe 20A,25,,2023/12/01
Enchufe clavija plana,8,,2024/07/18
Enchufe Clavija Schucko engomado 16Amp,38,,2024/10/18
Enchufe de 15A tipo L,15,,2026/01/26
Enchufe de 3 salidas con toma tierra Nema,65,,2025/08/14
"Enchufe de energia, clavija macho",8,,2023/10/12
Enchufe doble ARGO negro,45,,2026/02/15
Enchufe doble de empotrar,26,,2024/07/18
Enchufe doble de pared marca Mr Three,32,,2024/03/05
Enchufe doble en placa,45,,2025/08/11
Enchufe eléctrico de 4 tomas,20,Enchufe eléctrico de 4 tomacorrientes,2022/10/19
Enchufe hembra,12,,2024/07/17
Enchufe macho,10,,2024/07/17
Enchufe macho plano,9,,2025/03/14
"Enchufe placa doble, Mr Three",38,,2024/08/21
Enchufe plano,10,,2025/09/30
Enchufe regleta de 3 salidas con tierra tipo Nema,65,,2025/08/14
Enchufe Shucko con placa tomacorriente,48,,2023/07/28
Enchufe simple 16Amp,24,,2023/10/26
Enchufe simple en placa,35,,2025/08/11
Enchufe sobrepuesto,18,,2023/07/28
ENCHUFE SOBREPUESTO DE 4 TOMAS 25A,120,,2026/05/04
Enchufe sobrepuesto NEMA color crema 20Amp,45,,2024/09/02
Enchufe tipo L,20,,2024/01/10
Enchufe tipo L 10A,8,,2023/01/12
Enchufe tipo shucko,15,,2025/02/20
Enchufe tipo Shucko,30,,2026/01/27
Enchufe tipo shuko,15,,2024/04/25
Enchufe/clavija 16A,10,,2025/02/18
Enchufes de ISA tipo L,12,,2025/05/29
Engrapadora para madera neumática TRUPER,780,,2023/01/27
Escalera plegable 5 escalones reforzada,1200,,2026/02/03
Escalera plegable de 4 peldaños,860,,2025/06/16
Escalera Plegable de 5 escalones,650,,2025/02/25
"Escuadra Falsa de 8"" mango plástico",45,,2024/06/20
"Espatula 3""",15,,2022/11/11
"Estabilizador 1000VA, 220v, 4 entradas nema universal, indicador visual luz LED de estado, 2 conectores USB",215,,2024/06/18
ESTABILIZADOR 1200VA,350,,2025/05/14
Estabilizador 2200VA Nema,,,2026/02/06
Estabilizador de 1200VA,490,,2025/07/24
Estabilizador de corriente,280,,2024/07/18
"Estabilizador de corriente 1000VA/500W, entrada tipo Nema, 220V",185,,2024/05/27
Estabilizador de corriente de 1200VA,490,,2025/07/28
Estabilizador de corriente FORZA 1200VA,265,,2024/07/18
Estaño en pasta,1,,2023/11/01
Estaño para soldar,1,,2023/11/01
Estilete de plástico,3,,2024/06/26
Estilete reforzado,27,,2024/05/24
Estilete reforzado con 5 hojas incorporados TRUPER,,,2025/07/10
Estuco (fanega),25,,2023/06/09
Extensible tipo carrete 50m,,,2023/03/15
Extension de cable industrial 10 metros 20A,215,,2023/11/01
Extensión eléctrica vulcanizado de 5mts 3 tomas amarillo,48,,2025/03/27
Extensor de corriente,55,,2024/11/14
Extensor de corriente de 10 metros,120,,2024/12/04
"Extensor de tomacorriente 4 tomas nema, c/tierra, 2.5mm, 5 metros",180,,2025/04/17
Extensor Universal de corriente de 5 metros,70,,2024/12/04
Extensor universal de corriente de 5 metros 220V ULTRA,3,,2024/03/05
Extractor de aire 20*20,480,,2025/09/02
Extractor ventilador de aire 40 X 40,250,,2024/07/18
Fco LED luz blanca 20W,32,,2025/08/18
Flexometro 10 UYUSTOOLS,160,,2026/06/02
Flexometro 5 metros,15,,2023/11/01
"Fluxometro metálico cromado, con temporizador de 1/2 industria argentina FV",,,2025/07/10
Foco 30W,40,,2023/03/15
"Foco 60W, 220V, rosca normal E27",2.3,,2023/07/28
Foco ahorrador 85W espiral luz blanca,30,,2023/03/15
Foco ahorrador LED,13,"Led de 9W 
Marca FSL o similar",2023/05/15
Foco ahorrador LED luz blanca 30W,40,,2025/02/20
Foco ahorrador LED luz blanca 30W,45,,2026/01/27
Foco ahorrador Negro UV 40W rosca normal E27,60,,2024/07/11
Foco botella para enroscar E27 de 18W,22,,2024/03/05
Foco botellón de 18W,25,,2023/05/23
Foco botellón de 28W,35,,2023/05/23
Foco botellón de 28W,35,,2023/06/30
Foco botellón de 48W luz blanca,40,,2023/11/13
Foco color amarillo de 100W 220V,4,Foco amarillo 100W 220-240V,2022/11/11
Foco de 22W,28,,2024/01/10
FOCO DE 22W,28,,2024/07/24
Foco de 26W,35,,2026/05/18
FOCO DE 9W,12,,2024/07/24
Foco Dicroico LED 5W GU10,28,,2024/09/13
Foco dicroico LED calido,22,,2025/05/14
"Foco Dicroico LED GU10, luz cálida, potencia 8W",20,,2023/12/18
Foco Dicroico LED MR16 en pin 8W,28,,2024/09/13
Foco empotrables,35,,2025/06/01
Foco fluorescente,95,"De 2 luminarias cada uno de 40W con reactancia y pantalla
Marca DYD",2023/05/15
Foco Fluorescente 26W 2U,35,,2026/04/13
Foco incandescente LED de 6W,35,,2023/08/29
Foco LED 10W,12,,2025/01/09
Foco LED 10W,13,,2025/05/29
Foco LED 10w,15,,2025/08/21
Foco LED 10W,12,,2026/02/06
Foco LED 10W - 100W,15,,2025/09/09
Foco LED 10W E27,15,,2025/02/18
Foco LED 10W luz blanca,15,,2024/08/21
Foco LED 10W luz cálida,14,,2025/09/08
Foco LED 12W,18,,2026/05/08
Foco LED 12W,19,,2026/05/21
Foco LED 13W,18,,2022/11/23
Foco LED 13W,18,,2023/06/30
Foco LED 13W,18,,2023/10/26
Foco LED 13W,22,,2024/08/29
Foco LED 13W,22,,2024/10/09
Foco LED 13W,22,,2024/11/29
Foco LED 13W,21,,2025/03/14
Foco LED 15W 220V,20,,2024/09/02
"Foco LED 15W, tipo bombilla, luz blanca",18,,2023/11/06
Foco LED 18 W tipo bombilla,22,,2024/10/08
Foco LED 18W,23,,2025/04/08
Foco LED 18W,23,,2025/05/29
Foco LED 18W luz cálida equivalente a 150W,35,,2023/05/10
FOCO LED 18W TIPO BOTELLON ROSCA E27 LUZ BLANCA,25,,2023/08/31
"Foco LED 18W, tipo bombilla, rosca universal E27, luz blanca, 100-240V, luz blanca",19,,2024/04/10
Foco LED 20W,25,,2024/07/18
Foco LED 20W,28,,2025/05/29
Foco LED 20W,28,,2025/08/14
Foco LED 20W,28,,2025/08/14
Foco LED 20W,28,,2025/09/30
Foco LED 20W,25,,2026/05/05
Foco LED 20W - 150W,25,,2025/08/21
Foco LED 20W - 150W,25,,2025/09/09
Foco LED 20W rosca E27,25,,2025/02/18
Foco LED 22W luz blanca,30,,2025/11/28
Foco LED 22W luz cálida,30,,2025/11/28
Foco led 22W tipo bombilla,34,,2023/03/15
Foco LED 25W,30,,2025/05/02
Foco LED 30W,35,,2025/08/27
Foco LED 30W,35,,2026/02/06
Foco LED 30W,35,,2026/05/08
Foco LED 30W luz blanca,45,,2025/11/12
Foco LED 30W luz cálida,40,,2025/02/20
Foco LED 30W luz cálida,45,,2026/01/27
Foco LED 36w,40,,2024/06/17
Foco LED 40W tipo botellón,45,,2024/08/21
Foco LED 50W,75,,2024/08/14
Foco LED 50W,55,,2026/05/08
Foco LED 5W luz cálida,10,,2025/09/08
Foco LED 60W,85,,2025/07/28
Foco LED 70W tipo plafón,145,,2026/05/08
Foco LED 9W,15,Foco LED bombilla 9W luz blanca 6500K,2022/10/18
Foco LED 9W,15,Foco LED bombilla 13W luz blanca 6500K,2022/10/18
Foco LED 9W,13,,2025/05/29
Foco LED 9W luz blanca,12,,2023/01/12
Foco LED a rosca 15W,20,,2024/09/02
Foco LED botellon 40W,55,,2024/09/13
Foco LED botellon de 18W,30,,2024/09/13
Foco LED botellón 50W,65,,2022/11/23
Foco LED botellón de 18W,25,,2023/06/30
FOCO LED CON SENSOR DE MOVIMIENTO DE 12W,45,,2023/09/22
Foco LED de 12W,13,,2023/07/28
Foco LED de 13W,22,,2024/11/08
Foco LED de 15W luz blanca,20,,2023/10/27
Foco LED de 15WATT,25,,2024/11/14
Foco LED de 22W,30,,2023/10/05
Foco LED de 25W,27,,2023/06/09
FOCO LED DE 26W   Entrada: 220V-50/60Hz,32,,2023/08/31
Foco LED de 30W,35,,2024/07/02
Foco LED de 30W,35,,2025/04/08
Foco LED de 60W tipo botellón,75,,2023/06/30
Foco LED de 7W,10,,2023/07/28
Foco LED de 9W,14,,2023/09/29
Foco LED dicroico GU10 BL,25,,2024/09/19
FOCO LED E-27 22W LUZ BLANCA,42,,2023/07/20
FOCO LED E-27 22W LUZ CÁLIDA,42,,2023/07/20
Foco LED E-27 22W luz cálida,40,,2023/09/20
Foco LED E14 luz blanca,25,,2025/11/28
Foco LED E14 luz cálida de filamento,25,,2025/11/28
Foco LED Luz Blanca,,,2024/08/21
Foco LED luz blanca 15W,22,,2025/08/18
Foco LED luz blanca de 15W 220V,20,,2023/07/28
Foco LED Phelix 18W luz blanca,22,,2023/03/03
Foco LED redonde 22W,32,,2023/02/15
Foco LED rosca E27,12,,2025/05/24
Foco LED tipo bala 26W,27,,2023/03/15
Foco LED tipo bombilla 12W luz blanca,15,,2023/10/12
Foco LED tipo Bombilla de 12W,12,,2023/05/24
Foco LED tipo bombilla de 13W Marca FSL,14.1,,2023/05/24
Foco led tipo bombilla luz blanca,12,,2023/03/15
Foco LED tipo botellón 40W,55,,2024/10/09
Foco LED tipo Botellón 50W LUXON,65,,2026/03/13
"Foco LED tipo botellón de 50W, 220V, luz blanca",65,,2024/06/26
Foco LED tipo Vintage,65,,2026/03/09
"Foco LED, TIPO PANEL, COLOR BLANCO, TENSION 220V 18W, REDONDO",60,,2024/09/02
"Foco LED, TIPO PANEL, COLOR BLANCO, TENSION 220V 24W, REDONDO",80,,2024/09/02
"Foco LED, TIPO PANEL, COLOR BLANCO, TENSION 220V 36W, REDONDO",140,,2024/09/02
"Foco LED, TIPO PANEL, COLOR BLANCO, TENSION 36W, TOPO TORTA 3 TIEMPOS",180,,2024/09/02
Foco panel LED 24W sobrepuesto,85,,2024/12/02
Foco Panel LED redondo 24W,65,,2023/12/01
Foco panel LED redondo 24W,85,,2024/11/08
